Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Thick-billed Warbler,Arundinax aedon,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Acrocephalidae,Not endemic
Thick-billed Flowerpecker,Dicaeum agile,Resident,Least Concern,Large,Moderate,Passeriformes,Dicaeidae,Not endemic
Terek Sandpiper,Xenus cinereus,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Scolopacidae,Not endemic
Temminck's Stint,Calidris temminckii,WinterMigrant,Least Concern,Large,Moderate,Charadriiformes,Scolopacidae,Not endemic
Brown-headed Barbet,Psilopogon zeylanicus,Resident,Least Concern,Large,Low,Piciformes,Megalaimidae,Not endemic
Taiga Flycatcher,Ficedula albicilla,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Muscicapidae,Not endemic
Alpine Swift,Apus melba,Resident,Least Concern,Moderate,Low,Apodiformes,Apodidae,Not endemic
Sykes's Short-toed Lark,Calandrella dukhunensis,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Alaudidae,Not endemic
Striated Heron,Butorides striata,Resident,Least Concern,Large,Low,Pelecaniformes,Ardeidae,Not endemic
Streak-throated Woodpecker,Picus xanthopygaeus,Resident,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Streak-throated Swallow,Petrochelidon fluvicola,Resident,Least Concern,Very Large,Low,Passeriformes,Hirundinidae,Not endemic
Streaked Weaver,Ploceus manyar,Resident,Least Concern,Large,Moderate,Passeriformes,Ploceidae,Not endemic
Stork-billed Kingfisher,Pelargopsis capensis,Resident,Least Concern,Large,Low,Coraciiformes,Alcedinidae,Not endemic
Steppe Eagle,Aquila nipalensis,WinterMigrant,Endangered,Large,High,Accipitriformes,Accipitridae,Not endemic
Common Hawk-Cuckoo,Hierococcyx varius,Resident,Least Concern,Very Large,Moderate,Cuculiformes,Cuculidae,Not endemic
Spotted Dove,Streptopelia chinensis,Resident,Least Concern,Very Large,Low,Columbiformes,Columbidae,Not endemic
Spot-billed Pelican,Pelecanus philippensis,Resident,Near Threatened,Moderate,Moderate,Pelecaniformes,Pelecanidae,Not endemic
Speckled Piculet,Picumnus innominatus,Resident,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Dark-fronted Babbler,Rhopocichla atriceps,Resident,Least Concern,Moderate,Moderate,Passeriformes,Timaliidae,Western Ghats
Small Pratincole,Glareola lactea,Resident,Least Concern,Large,Moderate,Charadriiformes,Glareolidae,Not endemic
Small Minivet,Pericrocotus cinnamomeus,Resident,Least Concern,Very Large,High,Passeriformes,Campephagidae,Not endemic
Slender-billed Gull,Chroicocephalus genei,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Laridae,Not endemic
Slaty-legged Crake,Rallina eurizonoides,Resident,Least Concern,Moderate,Moderate,Gruiformes,Rallidae,Not endemic
Slaty-breasted Rail,Lewinia striata,Resident,Least Concern,Moderate,Low,Gruiformes,Rallidae,Not endemic
Grey-bellied Cuckoo,Cacomantis passerinus,Resident,Least Concern,Large,Low,Cuculiformes,Cuculidae,Not endemic
Siberian Stonechat,Saxicola maurus,WinterMigrant,Least Concern,Large,Low,Passeriformes,Muscicapidae,Not endemic
